time alarm_type valid invalid real
152 operationsDiagnosisCommunications 1 9 7
23 operationsDiagnosisCommunications 6 0 123
294 fieldElementFailure 0 4 0
304 fieldElementFailure 0 2 0
139 operationsDiagnosisCommunications 4 6 58
200 operationsDiagnosisCommunications 2 6 9
21 operationsDiagnosisCommunications 0 3 15
84 operationsDiagnosisCommunications 1 3 6
266 operationsDiagnosisCommunications 1 5 6
69 operationsDiagnosisCommunications 4 0 98
146 fieldElementFailure 0 7 38
275 operationsDiagnosisCommunications 0 4 8
148 operationsDiagnosisCommunications 6 7 94
135 operationsDiagnosisCommunications 1 8 9
196 operationsDiagnosisCommunications 5 0 87
229 fieldElementFailure 3 4 28
78 operationsDiagnosisCommunications 0 2 0
255 fieldElementFailure 0 3 17
253 fieldElementFailure 2 5 40
262 operationsDiagnosisCommunications 4 5 41
9 fieldElementFailure 5 1 37
58 fieldElementFailure 2 12 31
23 fieldElementFailure 0 7 63
35 fieldElementFailure 0 6 2
84 fieldElementFailure 4 3 30
33 fieldElementFailure 3 4 49
82 fieldElementFailure 6 3 51
256 fieldElementFailure 0 3 8
110 fieldElementFailure 3 7 75
59 fieldElementFailure 5 9 54
108 fieldElementFailure 8 0 79
307 operationsDiagnosisCommunications 0 3 0
261 fieldElementFailure 5 2 66
176 operationsDiagnosisCommunications 0 7 20
287 fieldElementFailure 0 7 0
285 fieldElementFailure 3 0 42
253 operationsDiagnosisCommunications 1 4 14
198 fieldElementFailure 0 1 26
311 fieldElementFailure 0 3 0
58 operationsDiagnosisCommunications 3 2 41
49 operationsDiagnosisCommunications 0 6 1
140 fieldElementFailure 0 10 19
106 operationsDiagnosisCommunications 0 3 50
185 operationsDiagnosisCommunications 6 4 64
247 operationsDiagnosisCommunications 2 4 23
172 operationsDiagnosisCommunications 2 7 25
233 operationsDiagnosisCommunications 0 5 0
126 operationsDiagnosisCommunications 3 10 14
54 operationsDiagnosisCommunications 0 7 2
217 fieldElementFailure 0 5 0
312 operationsDiagnosisCommunications 0 2 0
115 operationsDiagnosisCommunications 5 2 36
243 fieldElementFailure 0 7 13
36 fieldElementFailure 3 2 20
128 operationsDiagnosisCommunications 1 13 6
299 operationsDiagnosisCommunications 0 3 0
62 fieldElementFailure 2 13 5
11 fieldElementFailure 6 0 55
102 operationsDiagnosisCommunications 2 6 25
72 fieldElementFailure 5 4 43
86 fieldElementFailure 6 3 42
181 operationsDiagnosisCommunications 0 3 20
96 fieldElementFailure 1 8 58
298 fieldElementFailure 0 6 0
263 fieldElementFailure 2 5 10
101 fieldElementFailure 3 2 50
229 operationsDiagnosisCommunications 0 5 21
273 fieldElementFailure 1 6 1
127 fieldElementFailure 5 5 53
34 operationsDiagnosisCommunications 2 6 16
125 fieldElementFailure 0 15 1
308 operationsDiagnosisCommunications 0 2 0
299 fieldElementFailure 0 6 0
111 operationsDiagnosisCommunications 2 4 16
295 operationsDiagnosisCommunications 0 7 0
82 operationsDiagnosisCommunications 0 2 0
161 operationsDiagnosisCommunications 2 6 7
238 operationsDiagnosisCommunications 3 0 38
157 fieldElementFailure 0 6 0
209 operationsDiagnosisCommunications 3 2 34
252 fieldElementFailure 2 4 39
30 operationsDiagnosisCommunications 7 0 46
288 operationsDiagnosisCommunications 2 4 13
91 operationsDiagnosisCommunications 0 6 0
157 operationsDiagnosisCommunications 3 7 6
218 operationsDiagnosisCommunications 1 2 53
53 fieldElementFailure 2 9 38
79 fieldElementFailure 2 9 29
205 operationsDiagnosisCommunications 0 6 14
89 fieldElementFailure 1 7 35
103 fieldElementFailure 1 5 33
10 operationsDiagnosisCommunications 0 2 3
284 operationsDiagnosisCommunications 7 0 89
115 fieldElementFailure 6 5 53
87 operationsDiagnosisCommunications 2 3 39
271 operationsDiagnosisCommunications 5 0 75
137 operationsDiagnosisCommunications 1 11 11
214 operationsDiagnosisCommunications 1 5 7
170 fieldElementFailure 0 4 38
135 fieldElementFailure 0 14 0
19 operationsDiagnosisCommunications 0 4 8
147 fieldElementFailure 0 6 49
196 fieldElementFailure 1 2 38
145 fieldElementFailure 0 6 17
194 fieldElementFailure 1 2 11
222 fieldElementFailure 0 6 11
171 fieldElementFailure 0 4 33
6 operationsDiagnosisCommunications 0 2 34
264 operationsDiagnosisCommunications 4 2 51
232 fieldElementFailure 7 1 38
67 operationsDiagnosisCommunications 0 3 6
246 fieldElementFailure 1 7 14
52 operationsDiagnosisCommunications 0 8 2
133 operationsDiagnosisCommunications 11 0 92
194 operationsDiagnosisCommunications 2 3 28
15 operationsDiagnosisCommunications 0 5 7
278 fieldElementFailure 3 2 63
242 operationsDiagnosisCommunications 0 5 0
260 operationsDiagnosisCommunications 2 5 7
63 operationsDiagnosisCommunications 0 4 2
124 operationsDiagnosisCommunications 2 7 6
45 operationsDiagnosisCommunications 5 2 14
142 operationsDiagnosisCommunications 2 9 78
190 operationsDiagnosisCommunications 7 2 48
251 operationsDiagnosisCommunications 2 3 28
174 fieldElementFailure 0 7 17
56 operationsDiagnosisCommunications 0 8 3
184 fieldElementFailure 1 5 14
43 operationsDiagnosisCommunications 0 8 5
104 operationsDiagnosisCommunications 2 4 6
213 fieldElementFailure 0 5 35
239 fieldElementFailure 2 2 46
237 fieldElementFailure 2 1 46
247 fieldElementFailure 6 3 36
249 fieldElementFailure 0 12 0
42 fieldElementFailure 2 8 9
7 fieldElementFailure 0 4 21
170 operationsDiagnosisCommunications 4 3 30
68 fieldElementFailure 8 7 51
17 fieldElementFailure 6 1 53
66 fieldElementFailure 11 3 69
94 fieldElementFailure 2 7 38
43 fieldElementFailure 2 9 21
92 fieldElementFailure 1 8 42
118 fieldElementFailure 3 7 12
39 operationsDiagnosisCommunications 1 12 29
297 operationsDiagnosisCommunications 0 2 0
52 fieldElementFailure 6 4 37
100 operationsDiagnosisCommunications 8 0 45
295 fieldElementFailure 0 4 0
