"","rule","precision","recall"
"74","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.60755484,0.196700423
"75","<{saml.status.DS_7_68},{saml.status.DS_7_69}>",0.60704456,0.25844821
"76","<{saml.status.DS_7_68},{saml.status.DS_7_21}>",0.60676152,0.29519178
"77","<{saml.status.DS_7_68},{saml.status.DS_7_20}>",0.60504456,0.2632364
"78","<{saml.status.DS_7_20,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.60125785,0.199081373
"79","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.59862627,0.196700423
"80","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.59786786,0.21514571
"81","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.59786786,0.21514571
"82","<{saml.status.DS_7_21},{saml.status.DS_7_21}>",0.59745093,0.59745093
"83","<{saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_21}>",0.5913357,0.52346851
"84","<{saml.status.DS_7_69,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.59035527,0.23319416
"85","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.59035527,0.23319416
"86","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_68},{saml.status.DS_7_67}>",0.58893929,0.21514571
"87","<{saml.status.DS_7_69,saml.status.DS_7_20},{saml.status.DS_7_69}>",0.58807335,0.58223195
"88","<{saml.status.DS_7_69,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_21}>",0.587611,0.49994124
"89","<{saml.status.DS_7_66,saml.status.DS_7_68},{saml.status.DS_7_68}>",0.58699106,0.209867567
"90","<{saml.status.DS_7_69},{saml.status.DS_7_69}>",0.58639861,0.58639861
"91","<{saml.status.DS_7_20},{saml.status.DS_7_69}>",0.58571578,0.58593566
"92","<{saml.status.DS_7_69,saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_21}>",0.58535874,0.49506318
"93","<{saml.status.DS_7_69,saml.status.DS_7_20},{saml.status.DS_7_20}>",0.58533319,0.57913091
"94","<{saml.status.DS_7_69,saml.status.DS_7_21},{saml.status.DS_7_21}>",0.58517814,0.52553178
"95","<{saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_67}>",0.58485546,0.54433225
"96","<{saml.status.DS_7_20,saml.status.DS_7_21,saml.status.DS_7_67},{saml.status.DS_7_21}>",0.58440554,0.49910359
